Fx,Fy,Fz,Tx,Ty,Tz
0.10291100932942013,0.002735839843779911,0.28125300515563095,0.008920432931304331,-0.004590060880088216,-0.003791808216686283
0.020954559979952284,0.02577257973710389,-0.3447244001160191,-0.0029495515972688775,0.01088612199938025,-0.0002765505536821578
0.06641220174743039,0.02567534483147005,-0.14650808196757706,-0.002244391363264289,0.003219937013697292,-0.0010734633194042684
0.08871546779641817,-0.20456249590927644,0.37764945387344834,0.006319799512701063,-0.0018268638223797736,-0.0017793437791985929
-0.2011154029878131,0.13812811700506505,0.21429353490858163,0.004811898668265017,-0.004796384788153559,0.0069548210226113415
0.0587907962347944,-0.028391886091757332,0.11431456166923745,0.0018097644495033058,-0.0010433677969812717,0.0005575137253709349
-0.031583627360692715,-0.05245146366819933,0.03744741766959629,-0.00015667539347936113,0.0006354931226619156,-0.0012554608428310254
0.2611279657322904,-0.14783713605152282,0.0395886299386593,0.0022990503365665316,0.006124199477625406,-0.009781012516985477
0.31089625917716945,0.007152121752349416,-0.46299166040262624,-0.004537234838138332,0.011029229342655787,-0.005827954363348207
0.03950677620674875,0.0006612688895992064,-0.3433458078491937,0.0009859607319568763,0.01092233982104437,-0.0019182753074991577
-0.008490926217614062,-0.014342904493158906,0.6789382514534981,0.01043421647288209,-0.01492130704102127,-0.0009255422017969187
-0.14787386250850465,0.05555526470106234,-0.40391213254850344,-0.00950864393486703,0.0033425723686231466,0.004175938223258693
0.3116254040937377,-0.15731909881103456,-0.28847800555933717,-0.004213748694172731,0.009294990543937908,-0.006844478724073103
0.09345727989262982,0.1417052127888633,-0.39336274775029917,-0.0014255846545657667,0.010058032393626265,-6.833591307962177e-05
-0.1324975017837709,-0.011277229926255107,0.17723371033966745,0.003373557540647024,-0.002716285069958163,0.0034301157279856896
-0.042445832102369185,0.04126155893329607,-0.8220762248696835,-0.012213181303234963,0.014068976614138376,0.0026410285598323572
-0.15730168246422738,0.1680287735853748,-0.42318942206691634,-0.0006947284934879787,0.007960748539097402,0.005670690186006311
-0.0335191021867082,0.051243134955158906,0.14136588872445074,0.0014896036105225968,0.0018065361646293222,0.0020352198959604903
